Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-05,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-06,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-09,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-10,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-11,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-12,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-13,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-16,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-17,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-18,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-19,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-20,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-23,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-24,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-25,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-26,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-27,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-30,0.0,0.0,0.0,36.0,0,,,,,,,
2016-05-31,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-01,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-02,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-03,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-06,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-07,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-08,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-09,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-10,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-13,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-14,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-15,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-16,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-17,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-20,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-21,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-22,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-23,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-24,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-27,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-28,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-29,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-06-30,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-07-04,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-07-11,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-07-12,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-07-13,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-07-14,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-07-15,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-07-18,0.0,0.0,0.0,36.0,0,,,36.0,0.0,36.0,36.0,
2016-07-19,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-07-20,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-07-21,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-07-22,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-07-25,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-07-26,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-07-27,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-07-28,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-07-29,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-01,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-02,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-03,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-04,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-05,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-08,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-09,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-10,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-11,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-12,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-15,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-16,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-17,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-18,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-19,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
2016-08-22,0.0,0.0,0.0,36.0,0,36.0,,36.0,0.0,36.0,36.0,
